Head	01	02	03	04	05	06	07	08	09	10	11	12
o__Mycobacteriales;f__Mycobacteriaceae	2136.93497363866	1647.14742624748	1050.51779186848	999.982113038996	1883.89387076914	3026.70837248615	2132.6099026085	1555.31089302328	1316.82128330029	2163.75230689216	3559.23083732437	3398.31873317501
o__Myxococcales;f__Myxococcaceae	0	0	0	0	0	0	1171.27905260059	214.923894165365	473.761039332371	0	0	0
o__NS11-12g;f__	0	0	0	0	0	309.469228710159	0	0	0	333.067946946666	1511.91955462544	0
o__NS11-12g;f__UBA9320	0	0	0	760.95896571214	0	0	0	0	0	106.844489948498	0	0
o__NS11-12g;f__UBA955	0	0	0	0	2003.37601587621	1030.7475058578	3009.08109346062	593.381820134267	1087.44508268839	1443.49375148534	1147.24364047889	0
o__NS11-12g;f__UKL13-3	0	215.076078816488	0	168.120920662157	7539.32270321738	2761.60498830454	2230.49522937707	2341.97774046192	2652.73275664032	0	3225.29271024323	1556.76022483766
o__Nannocystales;f__Nannocystaceae	0	0	0	0	0	0	0	333.728046596189	0	0	0	0
o__Nanopelagicales;f__	0	0	501.668043338553	0	0	94.5220688222643	103.371538271573	0	0	107.405717490024	263.613899472931	0
o__Nanopelagicales;f__AcAMD-2	0	0	295.805383420576	0	0	0	0	0	0	0	0	0
o__Nanopelagicales;f__AcAMD-5	0	827.441702164124	0	0	126.915283578843	239.712207839941	171.923041551215	859.607050904795	1589.27010862953	1106.99886518903	2818.26135124821	0
o__Nanopelagicales;f__Nanopelagicaceae	1716.6408518631	10229.5152310742	5630.70938984535	3451.44735773441	4743.346703696	5168.56961439916	7562.18493906607	4813.0821552112	4625.33641376494	5099.58789826317	4208.02211243858	3817.8228823339
o__Nanopelagicales;f__S36-B12	2661.53753705417	1403.40565656118	4936.81950367026	1840.08168919917	914.61326896951	1103.94502301426	1481.66900870501	1569.65671132788	1253.38905587536	917.934924242285	891.856553823373	10330.518027259
o__Nanopelagicales;f__UBA12327	0	0	275.131620820881	0	60.9917493403717	94.5697334221313	42.1818108830063	0	0	76.6410198118715	326.706652487328	0
o__Nanopelagicales;f__UBA5976	0	0	657.885550180811	0	0	182.805965090898	0	0	0	0	109.555947868253	0
o__Nevskiales;f__Nevskiaceae	0	0	0	0	7291.6975132194	0	0	0	0	0	0	0
o__Obscuribacterales;f__	0	0	0	0	0	0	0	0	0	0	896.409816232314	0
o__Obscuribacterales;f__Obscuribacteraceae	0	0	0	0	0	1054.60583575757	145.881114893264	3393.98611844623	9739.06580445646	0	426.777545358775	0
o__Oligoflexales;f__	0	0	0	0	0	0	386.026670004496	523.166548087258	0	0	101.331797429775	0
o__Oligoflexales;f__Bog-1112	0	0	0	0	0	0	0	54.827327278438	1370.78817090756	0	0	0
o__Opitutales;f__Opitutaceae	1968.5821519198	1008.26121184125	1324.09360095329	719.591967946152	692.740071605391	1164.29480022968	2231.70011279364	3187.43918861277	2997.84373887722	2068.99417243481	7330.16271459557	2508.57133672467
o__Opitutales;f__UBA953	846.796411307708	7527.69346677291	3706.87729063175	2695.13500282662	4040.65623711503	4824.25128943926	1694.16612097778	590.767734507159	532.855458154596	2613.73464341458	7901.13253076728	11522.888516492
o__PCC-6307;f__Cyanobiaceae	0	0	0	0	337.817520264952	6053.3644065391	7501.52921903766	16243.5155581001	16682.5379143645	9940.06798525064	3452.01906097806	0
o__Paenibacillales;f__	0	0	0	0	0	61.969944398066	0	0	0	0	0	0
o__Paenibacillales;f__Paenibacillaceae	0	0	0	0	0	227.086150579745	0	0	0	0	0	0
o__Paracaedibacterales;f__	0	0	0	0	0	0	0	0	83.862921881235	0	0	0
o__Paracaedibacterales;f__UBA11393	0	361.387012683371	0	1272.86150439012	665.236169910091	0	33.7671170419385	351.899421044409	122.780014178664	672.942848162122	432.893119316305	0
o__Parachlamydiales;f__Parachlamydiaceae	1430.08898575706	0	1346.0818792587	240.723020980762	237.247230489359	0	0	0	0	0	0	0
o__Pedosphaerales;f__	0	0	0	0	0	65.154741151929	39.7492836557439	0	51.8411350453082	78.1934319585395	0	0
o__Pedosphaerales;f__SXTU01	0	0	0	0	0	0	0	0	0	56.8389456264035	0	0
