Head	Spring	Clearwater	Early Summer	Late Summer	Fall	Ice-on
o__Burkholderiales;f__CAIKXV01	3.897478267	38.35404199	7.506701997	0	40.3220457	6.279787558
o__Burkholderiales;f__Casimicrobiaceae	0	51.81637048	8.079687544	85.82841583	22.45788817	0
o__Burkholderiales;f__Chitinibacteraceae	573.1831495	105.9880284	0	0	120.608008	0
o__Burkholderiales;f__Chitinimonadaceae	71.08216941	137.8466845	0	5.413152143	0	0
o__Burkholderiales;f__Chromobacteriaceae	0	12.3906183	0	0	14.36387899	0
o__Burkholderiales;f__Ferrovaceae	8.548537349	4.969428388	0	0	13.87289454	0
o__Burkholderiales;f__Ga0077523	0	4.17611484	14.372276	0	21.17069279	0
o__Burkholderiales;f__Gallionellaceae	483.4929338	541.5170419	176.6444301	458.3173568	1060.714987	320.6960388
o__Burkholderiales;f__Methylophilaceae	978.584574	1399.985152	763.8657105	162.8525767	2526.389908	117.7967243
o__Burkholderiales;f__Neisseriaceae	47.76963611	50.6057795	17.80723806	4.956605103	465.3668372	8.040053864
o__Burkholderiales;f__Nitrosomonadaceae	674.3696058	603.0074932	388.4097135	274.6147376	942.1899327	75.53211338
o__Burkholderiales;f__Rhodocyclaceae	562.0429925	2220.624717	385.2677596	100.1952396	10688.79702	312.4893177
o__Burkholderiales;f__SG8-39	0	0	7.791765527	8.771463798	90.6197591	0
o__Burkholderiales;f__SG8-41	12.91185646	38.72894386	36.61001499	25.32735173	59.74724653	28.13093009
o__Burkholderiales;f__Sulfuricellaceae	0	11.45770634	0	0	96.70932246	0
o__Burkholderiales;f__Sulfuriferulaceae	0	0	0	0	8.705212128	0
o__Burkholderiales;f__Thiobacillaceae	31.17521925	11.36600413	166.7139732	12.90399327	739.71182	80.31743798
o__Burkholderiales;f__UBA11063	92.52238026	111.4522304	164.0190397	18.82469031	381.5141283	25.11167492
o__Burkholderiales;f__UBA3065	0	0	0	0	208.7285924	0
o__Burkholderiales;f__UKL13-2	292.4013384	1576.336514	331.7864086	78.23125179	113.4316496	9.897008637
o__Burkholderiales;f__Usitatibacteraceae	135.6035892	560.6034977	161.0166823	4.051822971	180.5143247	0
o__CACIAM-22H2;f__CACIAM-22H2	81.87969013	155.624203	164.9749684	0	1132.849746	0
o__CACIAM-69d;f__CACIAM-69d	0	0	0	0	83.50664962	0
o__CACJXQ01;f__CACJXQ01	8.247200062	0	0	0	62.50635066	0
o__Caedimonadales;f__UBA1908	0	0	0	0	0	3.295130331
o__Caenarcaniphilales;f__Caenarcanaceae	0	47.89273947	131.9599806	3.904622074	29.00607829	0
o__Caenarcaniphilales;f__LMEP-6097	9.48835373	343.0920467	116.3506369	0	1068.189653	0
o__CAIKKV01;f__CAIKKV01	0	0	0	0	6.95851796	0
o__CAIKKV01;f__CAITUY01	3.820731885	19.8278484	0	0	395.6333659	0
o__CAILAD01;f__BJGX01	9.825069181	0	6.830909952	0	25.27896412	0
o__CAILAD01;f__CAILAD01	38.46088375	0	0	0	0	0
o__CAISOG01;f__CAISOG01	0	12.86412723	32.95679883	0	102.667185	0
o__CAIYQO01;f__CAIYQO01	0	0	0	0	4.056585509	0
o__Caldilineales;f__Bin34	0	0	0	0	97.76312045	0
o__Caldilineales;f__Caldilineaceae	0	5.816676117	71.64032296	0	528.284548	0
o__Campylobacterales;f__Arcobacteraceae	8.651722126	3.966173976	26.12783722	0	33.69920687	0
o__Campylobacterales;f__Campylobacteraceae	10.00243745	17.00223121	0	3.665755697	59.13496078	0
o__Campylobacterales;f__Helicobacteraceae	2.669614138	140.2798793	0	0	221.5225021	0
o__Campylobacterales;f__Sulfurimonadaceae	19.01011363	102.1622677	32.97520913	24.79334184	87.18243305	0
o__Campylobacterales;f__Sulfurospirillaceae	0	0	4.418472113	0	72.90416473	0
o__Campylobacterales;f__Sulfurovaceae	11.90043944	0	23.98182178	14.65644941	127.1109064	0
o__Cardiobacteriales;f__Cardiobacteriaceae	0	9.241002998	9.42816704	0	0	0
o__Cardiobacteriales;f__Wohlfahrtiimonadaceae	0	0	8.570232712	0	46.92073245	0
o__Caulobacterales;f__Caulobacteraceae	702.5025848	2627.125915	835.3415586	74.82082293	3482.11545	460.9086732
o__Caulobacterales;f__Hyphomonadaceae	0	74.59627159	188.1462087	0	1668.635077	0
o__Caulobacterales;f__Maricaulaceae	0	0	14.45358274	12.87978836	190.6261739	0
o__Caulobacterales;f__Parvularculaceae	0	8.442685282	0	0	35.24086515	4.216535704
o__Caulobacterales;f__TH1-2	4.321493222	104.8202182	15.77296221	0	297.9186739	0
o__CG2-30-59-28;f__CG2-30-59-28	0	0	0	0	12.83300305	0
o__Ch128b;f__Ch128b	7.778243518	4.116679487	0	0	0	0
o__Chitinophagales;f__CAIOSU01	104.9842797	42.99945722	24.1772964	0	37.98346589	55.03575979
o__Chitinophagales;f__Chitinophagaceae	15646.94634	16069.21423	6156.555203	2477.724221	25850.03983	4145.864484
o__Chitinophagales;f__JADJOU01	473.1474372	676.4859796	85.17071457	22.70241789	246.8203166	81.60171338
o__Chitinophagales;f__LD1	7.522421282	55.50301928	8.133137454	6.589707905	44.46017224	0
o__Chitinophagales;f__REEL01	0	0	9.314877451	7.947120847	0	0
o__Chitinophagales;f__Saprospiraceae	3067.379209	3632.251821	1343.842474	991.9525319	4912.549807	1558.961203
o__Chitinophagales;f__UBA10324	0	0	0	0	138.9661361	0
o__Chlamydiales;f__Chlamydiaceae	97.45643927	254.4259775	172.862093	67.24410193	862.8763282	5.589040158
o__Chlamydiales;f__JACRBE01	0	0	0	0	5.803687682	0
o__Chlamydiales;f__Parachlamydiaceae	31.67356926	0	5.856559163	8.28776806	0	122.403354
o__Chlamydiales;f__VFKH01	13.77611911	30.21454735	0	0	14.36501283	0
o__Chloroflexales;f__Chloroflexaceae	0	0	36.70960184	0	55.4714648	0
o__Chloroflexales;f__Roseiflexaceae	5.94745465	0	0	0	46.18441414	71.05853428
o__Christensenellales;f__CAG-74	10.15583127	80.69069541	6.441066213	0	3.110375736	0
o__Christensenellales;f__CAG-917	0	4.16682405	0	0	77.94042486	0
o__Christensenellales;f__DTU072	48.7221661	115.6694464	3.707742214	0	125.4719274	23.87551338
o__Christensenellales;f__UBA1242	39.06012207	25.07437574	21.82325169	58.535026	134.8954394	0
o__Christensenellales;f__UBA3700	23.67716508	22.98344337	22.61514375	32.14612306	13.05142797	10.30745854
