Head	1	2	3	4	5	6	7	8	9	10	11	12
o__Polyangiales;f__Polyangiaceae	0	0	0	0	0	0	126.2492779	1092.786932	691.8776302	179.834296	3.976540757	0
o__Polyangiales;f__SG8-38	0	0	0	0	0	0	0	0	4.859808663	0	0	0
o__Polyangiales;f__Sandaracinaceae	0	0	0	0	0	681.1133064	502.458706	3325.846332	630.857399	0	0	0
o__Pseudanabaenales;f__Pseudanabaenaceae	11.52055741	2.811487118	0	14.84533144	103.0452224	3854.181747	4995.032758	984.769367	2568.612267	4336.110425	588.0364021	9.002915536
o__Pseudomonadales;f__HTCC2089	0	0	0	0	0	0	36.95910698	3.578018993	14.74912072	4.676366639	0	0
o__Pseudomonadales;f__Pseudohongiellaceae	3.9553231	17.89975518	0	16.50664676	79.68970697	77.47922522	42.1495889	146.3472899	0	8.593075006	11.12704155	0
o__Pseudomonadales;f__Pseudomonadaceae	0	0	0	0	0	13.65730877	0	0	0	0	0	0
o__Pseudomonadales;f__UBA5518	0	0	0	0	0	7.171398697	36.56764407	38.94964807	22.44664464	24.56908797	0	0
o__RFN20;f__CAG-826	0	33.72863264	0	0	207.7455579	259.7451524	30.85247733	0	35.32928788	20.6087113	0	0
o__RFP12;f__	0	0	0	0	0	0	9.710516807	196.8515514	25.92173364	18.50581205	0	0
o__RFP12;f__UBA1067	0	0	0	0	0	0	7.805662549	20.53598872	18.1172954	0	0	0
o__Reyranellales;f__Reyranellaceae	0	3.096697767	0	0	44.63291054	17.09186395	472.2663479	285.4609985	104.8117289	402.533753	848.2508041	0
o__Rhizobiales;f__Anderseniellaceae	0	0	0	0	0	0	16.88119871	44.23632174	12.05629532	52.902737	2.906045397	0
o__Rhizobiales;f__Beijerinckiaceae	50.52494168	120.8111142	79.64846961	24.64920367	119.3751429	249.6419463	107.6749555	57.97326302	1071.007468	1625.62521	879.4568898	25.68191602
o__Rhizobiales;f__Devosiaceae	0	0	0	0	0	7.743514613	0	0	10.70410102	0	0	0
o__Rhizobiales;f__Hyphomicrobiaceae	17.63682855	0	0	0	4.732725305	0	0	0	0	0	0	0
o__Rhizobiales;f__Labraceae	0	0	0	0	0	0	7.715620954	0	0	0	0	0
o__Rhizobiales;f__Rhizobiaceae	0	0	0	0	0	63.17724112	0	5.66505506	0	29.76219978	13.0861382	0
o__Rhizobiales;f__Xanthobacteraceae	36.16943274	0	10.94471804	0	0	0	0	0	0	18.51118817	82.52366602	0
o__Rhodobacterales;f__Rhodobacteraceae	97.07438114	131.1899277	209.3231099	297.2930153	210.5695983	1056.673601	1096.00609	1248.216724	287.4710181	252.0741821	308.2546899	7.199762733
o__Rhodospirillales;f__Rhodospirillaceae	0	0	0	0	0	4.630761637	0	0	0	0	0	0
o__Rickettsiales;f__	0	0	0	0	10.55289302	0	20.86252537	50.09562333	10.97873642	31.54665862	8.868526378	0
o__Rickettsiales;f__Rickettsiaceae	3.9552183	92.28291763	18.56709857	8.30874125	273.1536194	923.1344069	67.78974472	281.7117559	447.8034358	467.7331195	84.69739274	0
o__Rickettsiales;f__UBA1997	0	0	6.247152553	7.545189988	87.73277706	14.8836938	10.34421612	26.76681395	41.90377628	6.716420566	49.49625471	0
o__Rickettsiales;f__UBA3002	0	0	0	0	0	0	2.986655266	0	0	0	5.517077496	0
o__Rickettsiales;f__UBA6187	0	0	0	0	0	0	5.520941325	0	0	0	0	0
o__Rickettsiales;f__UBA998	0	0	0	0	0	0	17.07638446	0	0	46.34064445	0	0
o__S15B-MN24;f__UBA4093	0	0	0	0	0	0	11.24918009	28.6455747	0	0	0	0
o__SG8-24;f__GWF2-40-263	0	0	0	0	0	0	7.222744854	19.21422293	0	0	0	0
o__SG8-24;f__UBA9934	0	0	0	0	0	0	0	0	0	6.776442657	0	0
o__SHNJ01;f__	0	0	0	0	0	11.20089887	20.35208881	4.507323769	5.951739969	5.452528276	4.095094167	0
o__SS1-B-03-39;f__UBA6053	0	0	0	0	0	0	0	4.425095572	0	0	0	0
o__SW-4-49-11;f__SW-4-49-11	0	0	0	0	0	0	0	5.036153994	2.830823037	0	0	0
o__SZUA-149;f__SZUA-149	0	0	0	0	0	0	7.407829646	0	3.172729907	0	0	0
o__Saccharimonadales;f__Saccharimonadaceae	0	0	0	0	0	72.01957048	0	0	0	0	5.154950876	0
o__Silvanigrellales;f__Silvanigrellaceae	0	0	0	0	0	0	16.9418245	0	0	0	0	0
o__Solibacterales;f__Solibacteraceae	0	0	0	0	0	0	0	137.7357792	52.12855514	0	0	0
o__Solirubrobacterales;f__70-9	0	0	0	0	0	7.005477613	5.722595483	20.14990455	9.536454158	18.44182186	0	0
o__Solirubrobacterales;f__Solirubrobacteraceae	0	0	0	8.225820756	13.86028913	0	0	0	0	0	0	0
o__Sphingobacteriales;f__	11.19761523	72.67749059	11.06177114	95.18819593	657.4484869	781.7009527	216.0925503	460.8780547	199.2078933	469.6140271	174.4597729	0
o__Sphingobacteriales;f__Sphingobacteriaceae	50.67908943	49.96795188	81.5157156	99.48236339	357.052363	460.1599027	216.7437991	1449.254659	357.9318338	94.91597887	123.0130545	4.003314847
o__Sphingomonadales;f__Sphingomonadaceae	304.1083885	292.6942528	99.84747078	391.1088377	1263.071614	5314.526251	1863.531997	861.6485278	306.9390847	919.4565393	3820.731549	177.5595074
o__Steroidobacterales;f__Steroidobacteraceae	41.47597623	0	0	0	137.4419421	238.1914853	1087.85415	2216.756167	923.7815974	276.8585216	20.4947877	0
